customer_id,recency,frequency,monetary,R_score,F_score,M_score,segment,primary_country,total_transactions,unique_invoices,unique_products,first_purchase,last_purchase,customer_lifespan_days
12346,325,12,77556.46,2,5,5,At Risk,UNITED KINGDOM,34,12,27,2009-12-14 08:34:00,2011-01-18 10:01:00,400
12347,1,8,4921.53,5,4,5,Champions,ICELAND,222,8,126,2010-10-31 14:20:00,2011-12-07 15:52:00,402
12348,74,5,1658.4,3,4,4,Big Spenders,FINLAND,46,5,24,2010-09-27 14:59:00,2011-09-25 13:13:00,362
12349,18,3,3678.69,5,3,5,Big Spenders,ITALY,172,3,137,2010-04-29 13:20:00,2011-11-21 09:51:00,570
12350,309,1,294.4,2,1,2,Lost,NORWAY,16,1,16,2011-02-02 16:01:00,2011-02-02 16:01:00,0
12351,374,1,300.93,2,1,2,Lost,UNSPECIFIED,21,1,21,2010-11-29 15:23:00,2010-11-29 15:23:00,0
12352,35,9,1729.54,4,5,4,Champions,NORWAY,95,9,68,2010-11-12 10:20:00,2011-11-03 14:37:00,356
12353,203,2,406.76,2,2,2,At Risk,BAHRAIN,24,2,23,2010-10-27 12:44:00,2011-05-19 17:47:00,204
12354,231,1,1079.4,2,1,3,Lost,SPAIN,58,1,58,2011-04-21 13:11:00,2011-04-21 13:11:00,0
12355,213,2,947.61,2,2,3,At Risk,BAHRAIN,35,2,35,2010-05-21 11:59:00,2011-05-09 13:49:00,353
12356,22,6,5611.73,4,4,5,Champions,PORTUGAL,139,6,103,2010-10-11 09:42:00,2011-11-17 08:40:00,401
12357,32,2,17437.66,4,2,5,Big Spenders,SWITZERLAND,295,2,260,2010-11-16 10:05:00,2011-11-06 16:07:00,355
12358,1,5,3447.07,5,4,5,Champions,AUSTRIA,74,5,55,2009-12-08 07:59:00,2011-12-08 10:26:00,730
12359,57,10,8873.39,4,5,5,Champions,CYPRUS,362,10,305,2009-12-05 13:32:00,2011-10-13 12:47:00,676
12360,51,6,3612.89,4,4,5,Champions,AUSTRIA,211,6,159,2010-02-22 09:32:00,2011-10-18 15:22:00,603
12361,286,4,451.25,2,3,2,At Risk,BELGIUM,25,4,17,2010-01-26 14:37:00,2011-02-25 13:51:00,394
12362,2,10,4737.23,5,5,5,Champions,BELGIUM,256,10,200,2011-02-17 10:30:00,2011-12-06 15:40:00,292
12363,109,2,552.0,3,2,2,Potential Loyalists,UNSPECIFIED,23,2,23,2011-04-11 13:29:00,2011-08-22 10:18:00,132
12364,7,4,1208.1,5,3,4,Big Spenders,BELGIUM,81,4,69,2011-08-19 15:24:00,2011-12-02 10:22:00,104
12365,290,1,320.69,2,1,2,Lost,CYPRUS,21,1,21,2011-02-21 13:51:00,2011-02-21 13:51:00,0
12366,633,1,500.24,1,1,2,Lost,CYPRUS,3,1,3,2010-03-16 10:28:00,2010-03-16 10:28:00,0
12367,3,1,150.9,5,1,1,Potential Loyalists,DENMARK,10,1,10,2011-12-05 16:48:00,2011-12-05 16:48:00,0
12368,627,1,917.7,1,1,3,Lost,CYPRUS,18,1,18,2010-03-21 15:56:00,2010-03-21 15:56:00,0
12369,412,3,1511.15,1,3,4,At Risk,AUSTRIA,90,3,89,2010-03-08 08:09:00,2010-10-22 13:13:00,228
12370,50,7,3956.56,4,4,5,Champions,CYPRUS,197,7,167,2010-02-09 09:41:00,2011-10-19 14:51:00,617
12371,59,4,3347.38,3,3,5,Big Spenders,SWITZERLAND,163,4,133,2010-03-04 18:23:00,2011-10-11 10:43:00,585
12372,71,3,1196.04,3,3,3,Loyal Customers,DENMARK,49,3,33,2011-02-16 12:46:00,2011-09-29 12:12:00,224
12373,310,3,927.65,2,3,3,At Risk,AUSTRIA,48,3,35,2010-02-04 12:08:00,2011-02-01 13:10:00,362
12374,24,3,2669.22,4,3,4,Big Spenders,AUSTRIA,81,3,78,2010-04-30 14:01:00,2011-11-14 15:37:00,563
12375,10,2,377.5,5,2,2,Potential Loyalists,FINLAND,15,2,13,2011-09-02 14:23:00,2011-11-29 10:36:00,87
